doc_id,X,Y,0,1,2
268,-1.8880717,9.147848,8,33,104
269,-0.9712278,0.8005491,7,30,96
270,1.9977946,5.841567,1,12,42
271,-1.7249804,2.78073,2,14,48
272,-2.2909749,5.569294,6,26,82
273,2.514876,7.0150976,3,16,53
274,2.6856828,6.8654137,3,16,53
275,0.4646307,7.668964,8,31,99
276,3.3261456,8.264759,3,18,60
277,-1.8810332,8.792121,8,33,104
278,1.7699088,6.9088674,1,10,34
279,-2.0689547,8.860654,8,33,104
280,1.7373371,2.8381016,4,19,63
281,-1.8648311,9.308016,8,33,104
282,-2.316522,7.436324,8,33,103
283,-2.3898506,6.1071124,6,27,85
284,2.3810606,6.5793123,1,12,41
285,-2.7551236,6.5443964,6,27,85
286,-2.978697,5.572264,6,26,82
287,2.2862456,8.853467,3,18,59
288,-2.3742104,5.0855675,6,26,82
289,-1.8055649,1.5183759,7,28,90
290,-0.35685578,3.1079915,2,13,43
291,-1.1964029,0.25110912,7,30,96
292,-0.78002197,0.6282426,7,30,96
293,2.885993,8.634225,3,18,58
294,1.3183836,1.708731,4,20,65
295,-0.7895123,0.42591396,7,30,96
296,-1.3277425,0.489089,7,30,96
297,-1.2225118,0.38269082,7,30,96
298,-1.7986048,1.5508348,7,28,90
299,-1.6797465,1.2062976,7,30,95
300,-2.3886096,5.130096,6,26,82
301,-2.420913,6.752869,6,27,86
302,-1.066033,0.1935595,7,30,96
303,-2.3716376,5.4838576,6,26,82
304,3.0135782,8.627606,3,18,58
305,-2.1714137,6.617288,6,27,86
306,-0.898051,0.5687583,7,30,96
307,-1.3245173,0.6264252,7,30,96
308,-1.1574136,1.0590229,7,30,95
309,-0.6337701,9.388375,8,32,100
310,1.8649161,2.7772298,4,20,66
311,2.6544008,5.973838,1,12,41
312,2.4474945,9.018589,3,18,59
313,1.3040556,5.3595657,1,11,38
314,3.1321394,8.981998,3,18,58
315,1.4157275,5.377702,1,11,38
316,2.9094496,8.520757,3,18,58
317,1.2473258,4.7174025,1,11,37
318,3.1872997,8.961722,3,18,58
319,-2.0192206,8.207611,8,33,103
